gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
female,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.55,70.55,yes
male,0,no,no,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.25,208.0,no
female,1,yes,no,29,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),99.05,2952.85,yes
male,0,no,yes,0,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.25,0.0,no
male,0,yes,yes,19,yes,no,fiber_optic,no,yes,no,yes,yes,yes,one_year,no,bank_transfer_(automatic),100.0,1888.65,yes
male,0,no,no,40,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,mailed_check,102.65,4108.15,no
female,0,yes,yes,28,yes,no,fiber_optic,no,no,no,no,yes,yes,one_year,yes,bank_transfer_(automatic),90.1,2598.95,yes
male,0,no,yes,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.15,537.35,no
male,0,no,no,22,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,25.25,566.5,no
female,0,yes,yes,69,yes,yes,dsl,yes,yes,no,yes,yes,no,one_year,no,credit_card_(automatic),73.7,4885.85,no
female,0,no,no,52,no,no_phone_service,dsl,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),58.75,3038.55,no
male,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.5,76.95,no
male,1,yes,no,16,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,98.75,1587.55,yes
male,1,yes,no,71,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,107.5,7713.55,no
male,1,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,no,yes,two_year,yes,credit_card_(automatic),102.65,7550.3,no
female,0,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.65,116.85,no
female,0,yes,yes,70,yes,no,dsl,yes,no,no,yes,yes,yes,two_year,no,credit_card_(automatic),75.35,5437.75,no
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,20.65,20.65,no
male,0,no,no,18,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,74.15,1387.0,no
female,0,no,no,5,yes,no,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,credit_card_(automatic),85.4,425.9,yes
female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),20.2,20.2,yes
female,1,yes,no,12,yes,yes,fiber_optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic_check,98.1,1060.2,yes
male,0,yes,no,72,no,no_phone_service,dsl,yes,yes,yes,no,no,no,two_year,no,bank_transfer_(automatic),42.1,2962.0,no
female,0,no,no,6,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,47.95,305.1,yes
female,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.0,85.0,yes
female,1,no,no,26,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,78.8,2006.1,no
female,0,no,no,33,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,100.0,3320.6,no
female,1,no,no,31,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,73.9,2217.15,yes
male,0,yes,no,23,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),19.3,486.2,no
male,0,no,no,1,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,electronic_check,75.5,75.5,no
female,1,yes,no,15,yes,yes,fiber_optic,no,no,yes,yes,no,no,month-to-month,yes,electronic_check,83.05,1258.3,yes
female,0,no,no,14,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),71.0,914.0,yes
female,0,yes,yes,43,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),60.4,2640.55,no
female,0,yes,no,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.45,1208.6,no
female,0,yes,yes,19,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),49.6,962.9,no
female,1,no,no,59,yes,yes,fiber_optic,yes,yes,yes,no,no,no,month-to-month,yes,electronic_check,89.75,5496.9,no
female,0,no,no,3,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,no,electronic_check,57.55,161.45,no
female,0,no,no,15,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,bank_transfer_(automatic),64.65,994.55,yes
female,1,no,no,7,yes,no,fiber_optic,no,no,yes,no,yes,no,month-to-month,yes,electronic_check,84.35,609.65,no
female,0,no,no,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.35,150.6,no
female,1,yes,no,37,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,76.5,2868.15,yes
male,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.3,144.0,no
male,1,yes,no,21,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.1,1474.75,yes
male,0,yes,no,19,yes,yes,fiber_optic,yes,yes,no,yes,no,no,month-to-month,yes,credit_card_(automatic),88.8,1672.35,no
female,1,no,no,66,yes,yes,dsl,yes,yes,no,yes,no,no,one_year,yes,credit_card_(automatic),63.85,4174.35,no
female,0,no,no,4,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,yes,mailed_check,60.4,272.15,yes
male,1,yes,no,69,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,electronic_check,109.95,7634.25,no
female,1,no,no,8,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),100.15,908.55,no
male,0,yes,no,69,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),112.55,7806.5,no
male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,50.3,92.75,no
female,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,45.95,45.95,yes
male,0,no,no,55,yes,no,dsl,yes,no,yes,yes,no,no,two_year,yes,electronic_check,59.2,3175.85,no
female,0,no,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.1,407.05,no
female,0,yes,no,64,yes,yes,dsl,no,no,yes,yes,no,no,one_year,no,bank_transfer_(automatic),58.35,3756.45,no
female,0,no,no,6,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic_check,55.0,340.4,no
female,0,yes,no,69,yes,yes,fiber_optic,yes,no,no,no,yes,yes,two_year,no,bank_transfer_(automatic),99.15,6875.35,no
male,0,yes,no,40,yes,yes,dsl,no,yes,no,yes,yes,no,one_year,no,credit_card_(automatic),70.75,2921.75,no
female,1,yes,no,30,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,90.05,2627.2,no
male,1,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),64.8,4732.35,no
female,0,yes,yes,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.1,486.05,no
female,0,no,no,50,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,two_year,yes,electronic_check,109.65,5551.15,yes
male,0,yes,yes,5,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,80.15,385.0,yes
female,1,no,yes,30,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic_check,101.3,2974.5,no
female,0,no,no,41,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.65,835.15,no
male,0,no,no,56,yes,yes,fiber_optic,yes,no,no,yes,yes,yes,month-to-month,yes,mailed_check,105.35,5794.45,no
female,0,yes,yes,70,no,no_phone_service,dsl,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),58.4,4113.15,no
female,0,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.65,158.95,no
female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),20.3,20.3,no
female,0,no,no,38,yes,yes,dsl,yes,yes,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),84.1,3187.65,no
female,0,no,no,23,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,79.15,1676.95,yes
male,0,yes,yes,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),25.1,1790.8,no
male,0,no,no,5,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,no,bank_transfer_(automatic),75.15,392.65,no
female,1,no,no,20,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,no,bank_transfer_(automatic),80.7,1614.2,no
male,1,no,no,9,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.05,746.5,yes
female,0,yes,no,29,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,74.95,2149.05,no
male,0,yes,yes,11,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,yes,bank_transfer_(automatic),59.65,683.25,no
female,0,yes,yes,51,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,yes,electronic_check,80.75,4116.9,no
male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),44.9,111.05,no
female,1,no,no,39,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,99.75,4036.0,no
female,0,no,yes,26,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,49.5,1265.65,no
female,0,yes,yes,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.7,113.5,no
male,0,yes,no,57,yes,no,dsl,yes,yes,no,yes,no,no,two_year,yes,electronic_check,59.75,3450.15,no
male,0,yes,no,4,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,100.2,420.2,yes
male,0,no,no,3,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,29.6,79.45,yes
male,0,yes,yes,28,yes,no,fiber_optic,no,yes,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),100.35,2799.0,no
male,0,yes,no,32,yes,no,dsl,yes,yes,no,yes,no,yes,one_year,no,mailed_check,70.5,2201.75,no
male,0,no,no,36,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_(automatic),20.35,695.85,no
male,0,no,no,27,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,50.35,1411.35,no
female,0,yes,yes,3,yes,yes,dsl,no,yes,yes,no,yes,no,month-to-month,yes,bank_transfer_(automatic),69.15,235.0,no
female,0,no,no,62,yes,yes,dsl,no,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),84.5,5193.2,no
female,0,yes,no,49,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),20.45,900.9,no
male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic_check,59.55,1144.6,no
male,1,no,no,5,no,no_phone_service,dsl,no,no,yes,yes,yes,no,month-to-month,no,credit_card_(automatic),45.4,214.75,no
female,0,no,yes,1,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.35,89.35,no
male,0,yes,no,3,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,23.6,89.05,no
female,0,yes,no,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.55,252.75,no
female,0,yes,yes,33,yes,yes,dsl,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,79.15,2531.4,no
female,0,yes,yes,14,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,25.55,372.45,no
male,1,yes,no,61,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,82.15,4904.85,no
male,0,no,no,1,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,25.0,25.0,no
male,0,yes,no,1,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,no,mailed_check,55.7,55.7,no
male,0,no,no,18,yes,no,fiber_optic,no,no,no,yes,no,no,month-to-month,yes,bank_transfer_(automatic),75.9,1373.05,no
female,0,yes,no,60,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,99.8,5985.75,no
male,0,no,no,7,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,mailed_check,85.2,602.55,yes
female,0,no,no,15,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),20.1,302.45,no
female,0,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,24.4,24.4,no
male,0,yes,yes,17,no,no_phone_service,dsl,yes,no,yes,no,yes,no,one_year,no,credit_card_(automatic),44.45,792.15,no
female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),83.3,6042.7,no
female,0,yes,yes,39,yes,no,fiber_optic,no,no,yes,yes,no,no,month-to-month,yes,bank_transfer_(automatic),81.5,3107.3,no
male,1,yes,no,7,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,credit_card_(automatic),94.7,673.1,yes
female,0,no,no,30,yes,no,dsl,yes,yes,yes,yes,yes,yes,one_year,no,bank_transfer_(automatic),85.35,2530.4,yes
male,0,yes,yes,32,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),69.75,2347.9,yes
male,0,no,no,58,yes,no,dsl,no,yes,yes,yes,yes,no,two_year,no,bank_transfer_(automatic),70.1,4048.95,no
male,0,yes,yes,68,yes,yes,dsl,no,yes,yes,yes,no,yes,one_year,yes,bank_transfer_(automatic),75.8,5293.95,yes
female,0,yes,no,64,yes,no,dsl,no,yes,yes,yes,no,yes,two_year,yes,mailed_check,68.3,4378.8,no
male,0,yes,yes,35,yes,yes,dsl,yes,yes,yes,yes,no,no,two_year,yes,credit_card_(automatic),69.15,2490.15,no
male,0,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),65.65,4664.5,no
female,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),91.15,6637.9,no
female,0,yes,no,2,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,74.4,139.4,yes
male,0,yes,yes,66,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,two_year,yes,credit_card_(automatic),56.75,3708.4,no
male,0,yes,yes,65,yes,no,dsl,yes,no,no,yes,yes,yes,two_year,yes,bank_transfer_(automatic),74.8,4820.15,yes
female,0,no,no,61,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,mailed_check,115.1,6993.65,no
female,0,no,no,17,yes,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,83.55,1329.15,no
female,0,no,no,1,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,25.75,25.75,no
female,0,no,no,38,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,electronic_check,24.25,914.4,no
male,0,no,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed_check,55.1,1253.15,no
male,0,no,yes,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,25.3,25.3,yes
female,0,yes,yes,21,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,44.95,926.25,no
male,0,no,no,68,yes,yes,dsl,yes,yes,yes,no,no,yes,one_year,yes,credit_card_(automatic),76.9,5023.0,no
female,0,no,no,39,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),50.65,1905.4,no
male,0,no,no,35,yes,no,dsl,no,no,no,no,yes,no,month-to-month,no,mailed_check,55.0,2010.55,yes
female,0,yes,no,52,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),66.25,3330.1,no
male,0,yes,no,71,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,two_year,yes,credit_card_(automatic),104.15,7365.3,no
female,0,no,yes,1,yes,no,dsl,no,no,yes,no,no,yes,month-to-month,no,electronic_check,59.2,59.2,yes
male,1,yes,no,43,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,103.0,4414.3,yes
male,0,yes,yes,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),104.45,7459.0,no
female,0,yes,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.85,146.6,no
male,1,no,no,34,yes,no,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,99.85,3343.15,no
female,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,20.0,20.0,no
female,0,yes,yes,72,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),108.3,7679.65,no
female,0,no,no,11,yes,no,dsl,no,no,yes,yes,no,yes,one_year,no,credit_card_(automatic),64.9,697.25,no
male,0,yes,yes,16,yes,no,dsl,yes,yes,no,no,no,no,one_year,yes,mailed_check,55.85,857.8,no
male,0,no,no,45,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),100.85,4740.0,yes
male,0,no,no,16,yes,yes,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,credit_card_(automatic),89.05,1448.6,yes
male,1,yes,no,37,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),72.25,2575.45,no
male,0,no,no,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),20.6,330.25,no
male,0,yes,yes,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,19.9,505.45,no
male,0,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one_year,no,mailed_check,49.55,475.7,no
male,0,no,no,26,yes,yes,dsl,yes,yes,no,no,no,no,one_year,no,electronic_check,61.55,1581.95,no
male,0,no,no,42,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,101.75,4273.45,yes
male,0,yes,yes,45,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,24.45,1088.25,no
female,0,no,no,47,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,106.4,5127.95,yes
female,0,yes,no,40,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),105.75,4228.55,no
female,1,no,no,17,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),82.65,1470.05,no
male,1,no,no,2,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,24.45,47.5,yes
female,0,yes,yes,23,yes,yes,fiber_optic,yes,no,no,no,no,no,one_year,no,credit_card_(automatic),81.85,1810.85,no
female,0,no,no,53,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.85,1049.6,no
male,0,no,no,5,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,mailed_check,80.1,398.55,no
female,0,no,no,72,yes,no,dsl,yes,yes,yes,yes,no,yes,two_year,yes,credit_card_(automatic),73.0,5265.2,no
female,0,yes,yes,44,yes,yes,fiber_optic,no,yes,yes,no,no,yes,one_year,no,electronic_check,94.4,4295.35,no
female,0,yes,no,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.6,314.45,no
female,0,yes,yes,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),114.6,8100.25,no
female,0,yes,yes,63,yes,no,dsl,yes,yes,yes,yes,yes,no,two_year,no,credit_card_(automatic),75.55,4707.85,no
male,0,yes,yes,70,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.15,1790.15,no
female,1,no,no,19,yes,no,fiber_optic,yes,yes,no,yes,yes,yes,month-to-month,yes,mailed_check,105.0,2007.25,no
female,0,yes,no,58,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),109.45,6144.55,yes
male,1,yes,no,41,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,94.55,3851.45,no
male,0,no,no,9,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,70.05,657.5,no
male,0,yes,yes,44,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,54.3,2317.1,no
female,1,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),89.85,6697.35,no
female,0,yes,no,62,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,mailed_check,113.95,6891.4,no
male,0,no,no,41,yes,no,fiber_optic,no,yes,no,yes,yes,no,one_year,yes,electronic_check,89.55,3729.75,no
female,0,yes,yes,43,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed_check,50.2,2169.4,no
female,0,yes,yes,20,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),25.55,507.4,no
female,0,yes,yes,8,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,45.45,411.75,no
female,0,no,no,60,no,no_phone_service,dsl,yes,no,yes,no,no,yes,one_year,yes,electronic_check,44.45,2773.9,no
female,0,no,no,35,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,21.1,741.0,no
female,0,yes,yes,45,no,no_phone_service,dsl,no,yes,yes,yes,no,yes,one_year,no,bank_transfer_(automatic),51.0,2264.5,no
female,0,no,no,2,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.55,166.3,yes
male,0,no,no,66,yes,no,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),105.65,6844.5,no
female,0,no,no,3,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,74.55,233.65,no
female,0,yes,no,60,no,no_phone_service,dsl,yes,yes,yes,no,no,yes,one_year,no,electronic_check,50.05,2911.5,no
female,0,yes,yes,10,yes,no,dsl,no,yes,no,yes,no,yes,month-to-month,yes,electronic_check,65.5,616.9,no
female,1,no,no,50,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic_check,104.95,5222.35,no
male,0,yes,yes,19,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,83.65,1465.75,yes
male,0,yes,no,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,one_year,yes,mailed_check,108.5,6880.85,no
male,0,no,no,7,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),69.15,488.65,no
female,0,yes,yes,51,no,no_phone_service,dsl,yes,no,no,yes,no,no,two_year,no,bank_transfer_(automatic),34.2,1782.0,no
female,0,yes,no,37,yes,yes,fiber_optic,yes,no,yes,yes,no,yes,one_year,yes,electronic_check,99.2,3754.6,yes
female,0,no,no,10,yes,no,fiber_optic,yes,no,no,no,yes,no,month-to-month,yes,mailed_check,84.7,832.05,yes
male,0,no,yes,70,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,114.6,7882.5,no
female,0,yes,no,5,yes,no,fiber_optic,yes,no,yes,no,no,yes,month-to-month,yes,mailed_check,88.9,454.15,yes
female,1,no,no,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),108.95,7111.3,no
male,1,yes,no,62,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,103.75,6383.35,yes
male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,88.35,88.35,yes
female,0,yes,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,20.0,416.45,no
male,0,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,no,yes,two_year,yes,electronic_check,99.15,7422.1,no
male,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.65,38.8,no
female,0,yes,no,66,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,105.2,6936.85,no
male,0,no,no,19,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,yes,credit_card_(automatic),55.0,1046.5,yes
female,0,yes,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),44.35,44.35,yes
female,0,yes,yes,24,no,no_phone_service,dsl,yes,yes,yes,no,yes,yes,one_year,no,electronic_check,57.6,1367.75,no
female,0,no,no,16,yes,yes,fiber_optic,no,no,yes,no,no,yes,month-to-month,yes,electronic_check,88.45,1422.1,yes
